"indication"|"icd"|"source_data"
X-linked retinitis pigmentosa|ICD-11: 9B70|public
Acute adenoviral conjunctivitis|ICD-11: 1D84.0|public
Acute cardiac ischemic events|ICD-11: BA40.Z|public
Adverse reactions to acetaminophen or acetaminophen overdose|ICD-11: PB24|public
Aneurysm/dissection|ICD-11: BD50|public
Appetite suppressant|ICD-11: MG43|public
Arrhythmia|ICD-11: BC9Z|public
Blood/blood-forming organ sympton|ICD-11: MA14|public
Brain metastases|ICD-11: 2D50|public
Central nervous system injury|ICD-11: KA40|public
Cerebrovascular ischaemia|ICD-11: 8B1Z|public
Chronic renal failure|ICD-11: GB61.Z|public
Colon cancer|ICD-11: 2B90.Z|public
Complex epidermal hamartoma|ICD-11: LC02|public
Cystic/dysplastic kidney disease|ICD-11: GB8Y|public
Delayed methotrexate clearance|ICD-11: N.A.|public
Dutch elm disease|ICD-11: 8D64|public
End-stage renal disease|ICD-11: GB61.5|public
Epileptic seizures|ICD-11: 8A61-8A6Z|public
Excessive daytime sleepiness|ICD-11: MG42|public
Eye disorder|ICD-11: 9A01-9A0Z|public
Female infertility|ICD-11: GA31|public
Focal segmental glomerulosclerosis|ICD-11: MF8Y|public
Genetic disease|ICD-11: 8E02|public
Genetic prion disease|ICD-11: 8E02|public
Grade IV astrocytoma|ICD-11: 2A00.0|public
HIV-associated lipodystrophy|ICD-11: 1C62.1|public
Hypertonia|ICD-11: KB08.1|public
Hypertrophic scars|ICD-11: EE60|public
Hypoxia|ICD-11: MD11.1|public
Idiopathic parkinson disease|ICD-11: 8A00.0Z|public
Inflammatory pain|ICD-11: MG30.42|public
Influenza A virus infection|ICD-11: 1E30|public
Invasive pulmonary aspergillosis|ICD-11: 1F20.0|public
Itching|ICD-11: 1F28-1G07|public
Japanese encephalitis virus infection|ICD-11: 1C85|public
Keloidal surgical scar|ICD-11: EL50.0|public
Kidney malfunction|ICD-11: MG02|public
Large intestine polyp|ICD-11: DB35|public
Limb girdle muscular dystrophy|ICD-11: 8C70.4|public
Lipodystrophy|ICD-11: EF01|public
Lung squamous cell carcinoma|ICD-11: 2C25.2|public
Malignant essential hypertension|ICD-11: BA00|public
Meningioma tumour|ICD-11: 2A01|public
Metal intoxication|ICD-11: NE60|public
Metastatic lung cancer|ICD-11: 2D70|public
Musculoskeletal disorder|ICD-11: FA00-FC0Z|public
Neurodegenerative disorder|ICD-11: 8A20-8A23|public
Neuroendocrine carcinoma|ICD-11: 2C34|public
Neurogenic bladder dysfunction|ICD-11: GC01.4|public
Nosocomial infection|ICD-11: PL10|public
Nutritional deficiency|ICD-11: 5B50-5B71|public
Oral herpes|ICD-11: 1F00.02|public
Oral mucositis|ICD-11: DA01.11|public
Overgrowth syndrome|ICD-11: LD2C|public
Pharyngitis|ICD-11: CA02.Z|public
Photocontact dermatitis|ICD-11: EK20|public
Pleural disease|ICD-11: CB27|public
Polycystic kidney disease|ICD-11: GB8Y|public
Pre-sarcopenia|ICD-11: FB32.Y|public
Primary hyperoxaluria type 1|ICD-11: 5C51.20|public
Procedure injury|ICD-11: NE81|public
Proliferative diabetic retinopathy|ICD-11: 9B71.01|public
Recurrent glioblastoma|ICD-11: 2A00.00|public
Refractory multiple myeloma|ICD-11: 2A83|public
Tenosynovial giant cell tumour|ICD-11: 2F7B|public
Tuberculosis|ICD-11: 1B10-1B1Z|public
Typhoid|ICD-11: 1A07|public
Ulcerative colitis|ICD-11: DD71|public
Urea cycle disorder|ICD-11: 5C50.A|public
Varicose veins|ICD-11: BD74-BD75|public
Ventricular tachycardia|ICD-11: BC71|public
Yellow fever virus infection|ICD-11: 1D47|public
Zoster|ICD-11: 1E91|public
mumps|ICD-11: 1D80|public
Acute ischemic stroke|ICD-11: 8B11|public
Acute liver failure|ICD-11: DB91|public
Adrenoleukodystrophy|ICD-11: 8A44.1|public
Aicardi-Goutieres syndrome|ICD-11: 5C55.2|public
Allergic conjunctivitis|ICD-11: 9A60.02|public
Allergy|ICD-11: 4A80-4A85|public
Anthrax|ICD-11: 1B97|public
Autoimmune haemolytic anaemia|ICD-11: 3A20|public
Bacillus anthracis infection|ICD-11: 1G40|public
Bone development disorder|ICD-11: FB86|public
Cerebrovascular disease|ICD-11: 8B22-8B2Z|public
Chronic HCV-1 infection|ICD-11: 1E51.1|public
Congenital alopecia|ICD-11: LC30|public
Corneal ulcer|ICD-11: 9A76|public
Crigler-Najjar syndrome|ICD-11: 5C58.00|public
Cryopyrin-associated periodic syndrome|ICD-11: 4A60.1|public
Diabetic gastroparesis|ICD-11: DA41.00|public
Diagnostic fluorescein angiography or angioscopy of vasculature|ICD-11: BA00-BE2Z|public
Diagnostic imaging|ICD-11: N.A.|public
Diarrhea-predominant irritable bowel syndrome|ICD-11: DD91.01|public
Dry age-related macular degeneration|ICD-11: 9B75|public
Dry eye disease|ICD-11: 9E1Z|public
Eosinophilic granulomatosis with polyangiitis|ICD-11: 4A44.A2|public
Erythropoietic porphyrias|ICD-11: 5C58.12|public
Euthyroid goiter|ICD-11: 5A01.1|public
External genital and perianal wart|ICD-11: 1A95|public
Extraocular muscle disorder|ICD-11: 9C82|public
Eye inflammation|ICD-11: 9A02|public
Frontotemporal dementia|ICD-11: 6D83|public
Gallstone|ICD-11: DC11.3|public
Gastro-oesophageal reflux|ICD-11: DA22|public
HCV 1-6 infection|ICD-11: 1E51|public
Hemochromatosis|ICD-11: 5C64.1Y|public
Hepatitis E virus infection|ICD-11: 1E50.4|public
Idiopathic multicentric Castlemans disease|ICD-11: 2A81|public
Infancy/childhood primary interstitial lung disease|ICD-11: CB04|public
Infants/toddlers/children functional digestive disorder|ICD-11: DD93|public
Irritant contact dermatitis|ICD-11: EK02|public
Kaposi sarcoma|ICD-11: 2B57|public
Krabbe disease|ICD-11: 8A44.4|public
Large B-cell lymphoma|ICD-11: 2A81|public
Lateral sclerosis|ICD-11: 8B61|public
Leishmaniasis|ICD-11: 1F54|public
Limb-girdle muscular dystrophy|ICD-11: 8C70.4|public
Lower respiratory tract infection|ICD-11: CA45|public
Malaria|ICD-11: 1F40-1F45|public
Marburg virus infection|ICD-11: 1D60.1|public
Medulloblastoma|ICD-11: 2A00.10|public
Narcolepsy type 1|ICD-11: 7A20.0|public
Nausea|ICD-11: MD90|public
Nephropathic cystinosis|ICD-11: 5C60|public
Nephropathy|ICD-11: GC2Z|public
Neuroinflammation|ICD-11: 1D0Y|public
Ophthalmic graves disease|ICD-11: 5A02.0|public
Ornithine transcarbamylase deficiency|ICD-11: 5C50.AY|public
Peroxisomal disease|ICD-11: 5C57|public
Poison intoxication|ICD-11: NE6Z|public
Primary psychotic disorder manifestation|ICD-11: 6A25|public
Psychiatric disorder|ICD-11: 6E8Z|public
Pyruvate kinase deficiency|ICD-11: 5C53.00|public
Radiation effect|ICD-11: NF00|public
Radioactive tracer|ICD-11: N.A.|public
Renal fibrosis|ICD-11: GC01|public
Respiratory distress syndrome of newborn|ICD-11: KB23.0|public
Rhinovirus infection|ICD-11: CA07|public
Rift valley fever|ICD-11: 1D44|public
Status epilepticus|ICD-11: 8A66|public
Syphilis infection|ICD-11: 1A6Z|public
Systemic mastocytosis|ICD-11: 2A21.0|public
Tay-sachs disease|ICD-11: 5C56.00|public
Thrombocytopenia|ICD-11: 3B64|public
Tinea corporis|ICD-11: 1F28.Y|public
Tobacco dependence|ICD-11: 6C4A.2|public
Toxic shock syndrome|ICD-11: 1B52|public
Toxicity|ICD-11: N.A.|public
Toxoplasmosis|ICD-11: 1F57|public
Type 1 gaucher disease|ICD-11: 5C56.0Y|public
Varicose and spider veins of leg|ICD-11: BD74.1|public
Vomiting|ICD-11: MD90|public
genital warts|ICD-11: 1A95|public
lung transplantation|ICD-11: PK80.20|public
